id;farmer_id;farmer_name;nic_no;address_first_line;contact_no_email;province_id;district_id;ds_id;gn_id;city;added_date
1;issue;against whose;vivacious;indeed ouch helplessly;alarmed;20641;5895;28281;23457;Fort Judd;2025-05-05T09:35:02
2;despite;whenever palate;sin aw blue;outside into pixellate;which polyester;480;17440;5264;13545;North Zane;2025-05-04T19:07:15
3;likewise regarding;coin gape as;uh-huh;very plus;ugh plus;14667;7885;2520;10525;Hoboken;2025-05-05T03:54:53
4;circa given permafrost;amid mismatch below;spherical too antique;zesty inwardly stake;concentration forgather oh;7797;16714;23467;19423;Simtown;2025-05-05T00:49:45
5;colonialism blah gah;how sleepily;than past neighboring;atop;pace cutlet;7846;11758;20813;12338;New Edwardton;2025-05-05T05:29:36
6;over fat;whoever giant quirkily;along allocation;procurement concerning;because role;2764;13192;7956;6292;Kertzmannbury;2025-05-05T04:44:11
7;keenly times;hungry;that neglected;negligible lively maroon;perfectly neglect as;16234;29548;31791;850;New Liahaven;2025-05-05T13:00:51
8;yippee hype;deduct boo;scale;geez narrate remark;stiff devastation ick;29665;9657;22556;8481;North Alecfort;2025-05-05T04:56:25
9;clinking terrorise provider;disgorge graceful whoever;smoke bravely consequently;flimsy accidentally;gosh;2671;20052;31484;11799;North Theodora;2025-05-05T10:24:40
10;little ah delight;boyfriend;overstay dial lock;aircraft rightfully determined;or royal;32716;21969;20455;32557;Juddchester;2025-05-05T01:59:23
