id;farmer_id;farmer_name;nic_no;address_first_line;contact_no_email;province_id;district_id;ds_id;gn_id;city;added_date
1;or;long minty;collectivization;puritan given;graduate zowie;25434;26165;22295;16508;Rutherfordport;2025-05-05T00:50:48
2;yowza;perp eek modulo;consequently drat likewise;ick quixotic provided;so geez;14297;18864;28156;15452;South Helmerbury;2025-05-04T21:15:06
3;besides;accomplished aw;busily towards;seal taut catalyze;snowplow indeed;15805;15019;28130;12984;Ortizton;2025-05-04T20:52:28
4;ack;duh slushy;easily;flimsy er;trench cow specific;11686;4489;29905;17042;North Marlon;2025-05-04T19:48:29
5;down whenever;gracefully buzzing gah;frankly so celebrated;beyond appropriate;whose off;27561;23560;19679;16983;Hartford;2025-05-04T17:27:27
6;woot geez;anxiously bakeware amidst;mobilise;yet qualified;drowse whoever meh;25191;6507;29066;32081;Hazlecester;2025-05-05T00:52:01
7;incidentally weary;hmph a;midst gadzooks;fooey offset;coolly recent arraign;12022;12298;22277;27309;Abbottton;2025-05-04T19:26:47
8;forage;unless;provided covenant;beside;woot a even;20234;26054;18257;19420;Lake Damarisfurt;2025-05-04T20:43:57
9;after;why keenly;decryption;yowza contravene;pfft;29005;4346;32732;27599;South Kianboro;2025-05-05T01:55:18
10;bathrobe usefully puppet;freckle plus subdued;fixed beside gradient;alliance;onto juicy likewise;18989;10791;23730;3838;Santa Maria;2025-05-05T07:26:34
