id;farmer_id;farmer_name;nic_no;address_first_line;contact_no_email;province_id;district_id;ds_id;gn_id;city;added_date
1;faithfully;lifestyle vice;however toward dreary;procrastinate steel ouch;standard speedy within;9241;18539;15215;21523;Beaverton;2025-05-01T21:51:26
2;perfectly to;substitution;duffel;descriptive;ew bah;19532;1548;5473;13382;Port Aydenfurt;2025-05-01T23:21:13
3;thorough;unknown;because that terrorise;onto dramatize;enlightened woot because;14949;22583;17475;758;Antoneside;2025-05-02T12:12:15
4;celebrated;lest rapidly;that;from tune aboard;absent chromakey likewise;29036;18594;32134;26054;Fort Rita;2025-05-01T20:17:10
5;boohoo;noisily;traduce;ignorance but reference;meanwhile;18533;27927;19477;13422;Chesterfield;2025-05-02T17:34:43
6;fruitful upward;with;except;planula woot where;phooey down whose;32201;31209;18669;12964;Hanford;2025-05-01T18:10:11
7;under;jut;diver;phooey wisely for;pull upright;6792;25614;28454;11263;Port Earlenestead;2025-05-02T04:20:19
8;unto whitewash;within aw;within huzzah obstruct;wry silently beneficial;lazily truly during;10697;2477;31425;8069;Lake Ewaldshire;2025-05-02T08:41:49
9;immediate whether whoever;casket switch;provider properly;seldom;alert drat bah;22993;7374;16319;17133;Elenorside;2025-05-02T00:50:05
10;kookily;worth aboard;lox limply;incidentally reservation;gosh aw;11156;901;5542;31382;Oswaldoside;2025-05-02T01:46:36
