id;farmer_id;farmer_name;nic_no;address_first_line;contact_no_email;province_id;district_id;ds_id;gn_id;city;added_date
1;know following;inculcate extroverted;versus midst;however;complete thoughtfully whoever;14852;8885;3609;7909;Ibrahimton;2025-05-02T05:19:41
2;axe;menacing;pip;what frizz overconfidently;easily;5677;2384;12460;9590;Bonitashire;2025-05-02T05:57:16
3;reflate;because;incidentally circa;guzzle unwieldy reborn;goodwill;15934;6898;30362;29184;Jessycafort;2025-05-01T20:06:30
4;brr;utter rosy;yearningly;commemorate;cinema sympathetically;4693;26661;21190;13464;Camrenland;2025-05-01T20:41:49
5;wry saturate entomb;now inasmuch;now;like;practical designation enlightened;26568;25752;26407;3551;Bartonshire;2025-05-01T21:01:05
6;um;phew;far candid emphasize;repurpose wisecrack huddle;through;6935;8481;23159;11987;North Domenico;2025-05-02T13:02:27
7;wholly;vain;inasmuch diversity embody;yum so;scent over;23529;27951;1818;12889;Kuphalworth;2025-05-02T09:28:55
8;married;of vainly sharply;beyond;soupy woot redact;inquisitively;31067;17022;20630;23385;Port Lornafurt;2025-05-02T08:12:47
9;sharply;aha horn consequently;than digital;chow consequently ugh;boss boohoo around;28131;10939;20149;26962;West Lylacester;2025-05-02T14:23:17
10;whimsical yak;after bran awful;mid up;how incinerate venom;as;15669;4317;14804;30276;O'Connerchester;2025-05-02T03:32:35
