id;farmer_id;farmer_name;nic_no;address_first_line;contact_no_email;province_id;district_id;ds_id;gn_id;city;added_date
1;inasmuch hmph;behind compromise;soupy underneath ah;corny soon;jealously allocation brace;23545;10378;10587;4987;Lake Jovantown;2025-05-04T07:43:49
2;upbeat;among necklace duh;geez yum t-shirt;elevator;cleverly unimpressively;25978;6937;7682;4301;South Jaidatown;2025-05-03T17:05:34
3;embed unbalance;gadzooks mom ocelot;with monocle aboard;indeed;however whose ouch;9455;9108;28732;10573;Jaskolskiside;2025-05-03T09:08:23
4;through;daily hmph all;drat blah;pant aha;characterization turbulent moralise;7584;21485;31244;805;Aprilboro;2025-05-03T20:30:54
5;infinite alb sense;amongst including retrospectivity;restfully notwithstanding about;wherever piglet;frenetically;6277;17384;31609;31394;Wintheiserfurt;2025-05-03T13:37:04
6;presell anneal sizzle;burly;psst or;so but till;ferociously;20385;4580;10651;5944;Port Lila;2025-05-04T02:43:37
7;hmph however implode;without huzzah whenever;at;after meander aside;detain cake ick;25066;28184;2760;11212;Schillercester;2025-05-03T13:05:23
8;hopelessly when;ick inasmuch scratch;over proceed;how recklessly;right gazebo;28902;28097;28889;11117;West Johnville;2025-05-03T12:13:32
9;little sinful;even or;catch mmm;of vivaciously;lava;22058;8421;4955;32343;West Junius;2025-05-03T18:55:02
10;unselfish duh;er;beneath fatherly woot;because;warmly for;30729;26062;4990;24929;College Station;2025-05-03T22:44:12
