id;farmer_id;farmer_name;nic_no;address_first_line;contact_no_email;province_id;district_id;ds_id;gn_id;city;added_date
1;because carnival;defendant spew even;wear absent er;iridescence reward;circular;32150;32011;4944;24083;Jonesboro;2025-05-05T12:01:25
2;stormy march;past beloved;after fund after;as bonnet blah;yawn hmph lest;24315;28433;14789;26999;Bradlyshire;2025-05-05T08:40:05
3;vision;hollow unabashedly;next;apropos yum drat;federate traditionalism;7272;28751;15061;26734;South Brauliocester;2025-05-05T05:36:47
4;who joy;outside yippee ew;awful;swing fluffy drum;upon dapper hefty;12412;15379;21403;27158;Kaileyfort;2025-05-04T21:32:34
5;CD hurtful incidentally;white;worth napkin;flight;quinoa;5196;24519;26545;18177;Medhurstland;2025-05-04T21:18:28
6;why gah capitalise;mobility unconscious;atop psst bowler;upset;tune;28292;13834;25242;10134;Passaic;2025-05-04T17:05:19
7;till;whose till;modulo brr;ownership;once;9293;19696;13019;3123;Hodkiewiczfield;2025-05-04T15:55:19
8;shampoo tag;bell ick ouch;iterate until huzzah;address;procrastinate;27565;22304;20725;27330;New Denisport;2025-05-05T05:37:20
9;amongst for next;behind;yowza;gracious;usefully ack attend;32100;26941;17364;14584;Odellton;2025-05-05T03:31:46
10;instead;too since;bitterly;replicate likewise lest;although toward;15493;1703;26501;9793;West Maiaberg;2025-05-05T11:31:11
